Place Id,Name,Address,Contact,URL,Lat,Lng,Service/Business,District
ChIJn3Zf7Q53dDkRFd58JFGPobI,Neha Makeup Studio,"Jaipur House, opp. Dr. Bindra Nurshing Home, Prabhunagar, Jaipur House Colony, Agra, Uttar Pradesh 282002, India",099279 16128,https://maps.google.com/?cid=12871726788668874261,27.187099,77.9817604,parlours,Agra
ChIJNZ7sB2N3dDkR3w18PNN-FP0,Glam Makeovers Studio |Best parlour in Agra,"Alwatiya Rd, near kedar nagar, tiraha, Manas Nagar, Badla Ki Sarai, Shahganj, Agra, Uttar Pradesh 282010, India",073024 07660,https://maps.google.com/?cid=18236340236847943135,27.1791767,77.97292019999999,parlours,Agra
ChIJ2U9PEW5xdDkRBrAF0GSVPe4,B & G Unisex Salon,"Shop no.40 ,1st floor, Parsvnath panchvati plaza, Near Shankar Greens, Agra, Uttar Pradesh 282001, India",080067 40008,https://maps.google.com/?cid=17167041614825500678,27.1470224,78.05242919999999,parlours,Agra
ChIJlxc0Jv1xdDkRilH_uS0I0GU,Blush By Gurleen,"Shop no. 10, Ram Shree Complex, near panna paradise Hotel, opp. Hotel crystal sarovar, Agra, Dhandhupura, Uttar Pradesh 282001, India",,https://maps.google.com/?cid=7336372785473606026,27.1579811,78.0517201,parlours,Agra
ChIJ2b-7Mv15dDkRiN6v55Pxbig,Ns4 Hair and Beauty Salon,"Nalanda Tower, Babarpur Rd, Sikandra, Agra, Uttar Pradesh 282007, India",081717 00131,https://maps.google.com/?cid=2913531626504838792,27.217878,77.9622509,parlours,Agra
ChIJvZeky2l3dDkRO71spqxH5o8,Shahnaz Beauty Parlour,"5, Pushpajali Commercial Complex, Shastri Puram Rd, Near Kargil Petrol Pump, Suruchipuram Colony, Sikandra, Agra, Uttar Pradesh 282007, India",,https://maps.google.com/?cid=10369053998919236923,27.2031951,77.9529845,parlours,Agra
ChIJuXXLkZtxdDkRniL8JHpeAm0,Trisha Makeovers,"Shop 1, 19- MMIG, near JRJ Garden, Taj Nagari, phase 1, Agra, Uttar Pradesh 282001, India",,https://maps.google.com/?cid=7854944578787091102,27.1630011,78.0530155,parlours,Agra
ChIJa8TIglJ3dDkRHbvFdgibI5s,Shiraj Parlour,"6258+MW9, Bye Pass Road Sultan Ganj Ki PULIYA Kamlanagar, near ICICI Bank, Agra, Uttar Pradesh 282004, India",0562 288 3689,https://maps.google.com/?cid=11178949160718416669,27.2091586,78.0173664,parlours,Agra
ChIJXdiNZ513dDkRbT-92yQx6VY,The Sharn Salon,"Shop No - U.G - 10 uper Ground Floor, Blue Leefs Complex, Sector 10, Avas Vikas Colony, Agra, Uttar Pradesh 282007, India",095282 28400,https://maps.google.com/?cid=6262590791210581869,27.2048586,77.95879479999999,parlours,Agra
ChIJX-OFagRxdDkRkzDUW76u0EQ,Addition salon,"Fatehabad Rd, Tajganj, Agra, Basai, Uttar Pradesh 282001, India",,https://maps.google.com/?cid=4958655322342568083,27.1582131,78.0588341,parlours,Agra
ChIJJ_iLsLp3dDkROlvVHUDzyqg,Diamond Herbal Beauty Parlour & Clinic,"Nalanda Complex, 2, Maruti Estate Rd, Bodla, Shahganj, Agra, Uttar Pradesh 282010, India",094102 01948,https://maps.google.com/?cid=12162801200371424058,27.1819809,77.9618327,parlours,Agra
ChIJ_X95j5hxdDkR5cmnMmkXfLA,Areena beauty looks (international certified makeup artist) Bridal makeup expert,"Smt Ranjan Devi market, Teen ka nagla, Dhandupura road, Teen ka nagla, Agra, Uttar Pradesh 282006, India",087551 47968,https://maps.google.com/?cid=12717065188376300005,27.1673815,78.0570312,parlours,Agra
ChIJTwCi-jB3dDkRU5ZP7zMqgvc,Nisha Beauty Parlour,"Shop Number 11,12,13, 1st Floor, Ganpati Arcade, Hospital Rd, Sindhi Bazar, Rawatpara, Bagh Muzaffar Khan, Mantola, Agra, Uttar Pradesh 282005, India",098972 65446,https://maps.google.com/?cid=17834863876887254611,27.1888207,78.0102345,parlours,Agra
ChIJi66oLTl3dDkRrE1LJ1iottk,Alisha Touch and glow ( MakeoverbyDisha),"185 Defence Estate Phase 2, Devri Rd, Agra, Uttar Pradesh 282001, India",,https://maps.google.com/?cid=15687911448561536428,27.1447507,78.0192498,parlours,Agra
ChIJTckOKlt3dDkRoaqMDOEAsBY,Hair Masters Luxury Salon,"Shop No 1,2,3 &4, Shanti City Centre, Bhagirathi Devi Marg, Nasirabad Colony, Khandari, Agra, Uttar Pradesh 282002, India",090687 47772,https://maps.google.com/?cid=1634807631313676961,27.2072547,77.9949936,parlours,Agra
ChIJibTp9ol3dDkRoCAnF4TI7A8,NJ(NIDHI JAISWAL) unisex salon & Academy,"NJ Unisex Salon & Academy, 58/293-G/3, VIP Rd, Kheriya Mod, Syam Nagar, Idgah Colony, Agra, Uttar Pradesh 282001, India",079057 25075,https://maps.google.com/?cid=1147512474722312352,27.1625548,77.98697109999999,parlours,Agra
ChIJ86EiMF1xdDkR2om6E1_-ypU,Maya Madam Beauty At Home,"D205, Nagla Rambal, Kalindi Vihar, Agra, Uttar Pradesh 282006, India",063970 51924,https://maps.google.com/?cid=10793719141253155290,27.2180639,78.06043849999999,parlours,Agra
ChIJRRQkQrNwdDkRB8umChw2MqI,Dazzle Beauty life,"76-C/1, north vijay nagar colony , in front of varddan homes, Agra, Uttar Pradesh 282004, India",070604 17042,https://maps.google.com/?cid=11687463477045545735,27.2051602,78.0186233,salon,Agra
ChIJ79kdFZ93dDkR8bgH5eAF-Xg,Creative Unisex Salon | Best Salon | Beauty Salon | Hair Salon | Beauty Parlour | Makeup Artist In Agra,"C-1/19 , shop no. F-9 , sector 13 , 1st floor, below shanti hotel or infront of pizza hut, Avas Vikas Colony, Sikandra, Agra, Uttar Pradesh 282007, India",098709 07731,https://maps.google.com/?cid=8717005017225607409,27.2041016,77.9540238,salon,Agra
ChIJa1y_30Z3dDkR87CBt12izpM,Geetanjali Salon,"Shop No. 1, Lords INN PL Place, Mahatma Gandhi Rd, Sanjay Place, Agra, Uttar Pradesh 282002, India",082794 35052,https://maps.google.com/?cid=10650628692172189939,27.199617,78.0036265,salon,Agra
ChIJUxGCxul3dDkRRM8t8eOL4O0,Dye N Style Salon & Academy,"Fatehabad Rd, near Amar Hotel, beside HDFC bank, Vibhav Nagar, Tajganj, Agra, Uttar Pradesh 282001, India",084454 88488,https://maps.google.com/?cid=17140853992892256068,27.1600521,78.03393009999999,salon,Agra
ChIJAUG4f0d3dDkRw6GYKGk2noQ,One Touch Salon,"20, Church Rd, Bank Colony, Surya Nagar, Civil Lines, Agra, Uttar Pradesh 282002, India",073008 66722,https://maps.google.com/?cid=9556135284607328707,27.2025702,78.0033431,salon,Agra
ChIJIw1dcqVxdDkRWsvaJ_yDVUA,Pro Plus Smart Salon,"Floor 18/149B, Shop No. 9B,9C First, 2, Fatehabad Rd, Agra, Uttar Pradesh 282001, India",074095 15234,https://maps.google.com/?cid=4635756510471441242,27.1616703,78.0346507,salon,Agra
ChIJw3SwZd9xdDkR1Mx9l35atMs,"Be U Natural's Salon- Fatehabad Road Agra , Best Unisex Salon In Agra , Best Makeup Artist In Agra , Best Nail Salon In Agra","Karim Complex, near hotel amar, 15th Battallion PAC Quaters, Khairati Tola, Agra, Uttar Pradesh 282001, India",074095 15234,https://maps.google.com/?cid=14678456585261272276,27.1616895,78.0345881,salon,Agra
ChIJ28VTRH13dDkRIF3KU3qhD-k,Ns4 Hair & Beauty Salon,"B53 First Floor, Central Bank Rd, near Tanishq Showroom, Kamla Nagar, Agra, Uttar Pradesh 282004, India",089797 77009,https://maps.google.com/?cid=16793819082251722016,27.2117582,78.01780959999999,salon,Agra
ChIJkcWkNEN3dDkRwcXwLJBjtDM,Triss Salon,"UG 4 , Vimal Plaza, Surya Nagar, Agra, Uttar Pradesh 282002, India",070880 09955,https://maps.google.com/?cid=3725712262622660033,27.2074955,78.0005211,salon,Agra
ChIJoTzg1rh3dDkRo6yMYqPyopg,Gold N Glitz Unisex Salon,"SHRI BRAHMANI PALACE, PLOT NO- 123, AWADHPURI CHAURAHA, Pushpanjali Nagar Phase 3, Shahganj, Agra, Albatia, Uttar Pradesh 282010, India",078179 60175,https://maps.google.com/?cid=10998620023539149987,27.1788084,77.95439069999999,salon,Agra
ChIJmS4XFlF3dDkREuQUIFA6D0g,The Mirror Unisex Salon,"Shop No. FF1 Specific Shopping Arcade, next to Domino's Pizza, Kargil Petrol Pump, Sikandra, Agra, Uttar Pradesh 282007, India",084105 23430,https://maps.google.com/?cid=5192433011191505938,27.204318,77.95429709999999,salon,Agra
ChIJEbdV5KVxdDkRoVgeCGynbpE,Go Gorgeous Beauty Salon,"1st Floor Rabbani Market, near Chanakya Hotel, Shaheed Nagar, Agra, Uttar Pradesh 282001, India",084331 79360,https://maps.google.com/?cid=10479497465372235937,27.1552613,78.0353724,salon,Agra
ChIJd_-RvRp3dDkRVnc_DHeESJM,neeldavid's,"M.G Rd 2,Shop No 12 Pushpuneet Villa, Maruti Estate, Bodla, Agra, Uttar Pradesh 282010, India",063981 96617,https://maps.google.com/?cid=10612878168740034390,27.1840316,77.97173169999999,salon,Agra
